Name,Price,Car_Age,Fuel_Type_Petrol,Transmission_Manual,Engine,KMs_Driven,Engine_Liters
Audi Q7 4.2 TDI Quattro Technology,51.69,10,False,False,4134,56238,4.134
Porsche Panamera Diesel 250hp,51.52,11,False,False,2967,60033,2.967
Mercedes-Benz E-Class E 220 d,51.43,7,True,False,1950,26405,1.95
Mercedes-Benz E-Class E 220 d,51.35,7,True,False,1950,20446,1.95
Audi Q7 4.2 TDI Quattro Technology,51.0,11,False,False,4134,50000,4.134
Mercedes-Benz GLC 220d 4MATIC Style,50.97,6,False,False,2143,29311,2.143
Jaguar XJ 5.0 L V8 Supercharged,50.66,14,True,False,5000,43686,5.0
Porsche Panamera Diesel,50.5,12,False,False,2967,48000,2.967
Mercedes-Benz E-Class Facelift,50.29,7,False,False,2987,56652,2.987
Audi Q7 35 TDI Quattro Technology,50.22,9,False,False,2967,45180,2.967
BMW X5 X5 M,50.0,10,False,False,2993,69002,2.993
Audi Q7 3.0 TDI Quattro Premium Plus,49.79,9,False,False,2967,31075,2.967
Mercedes-Benz M-Class ML 350 4Matic,49.24,9,False,False,2987,27833,2.987
Mercedes-Benz M-Class ML 350 4Matic,49.22,9,False,False,2987,22769,2.987
Mercedes-Benz GLE 250d,49.0,9,False,False,2143,50000,2.143
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,49.0,11,False,False,2987,52000,2.987
BMW 6 Series 640d Gran Coupe,49.0,14,False,False,2993,30000,2.993
Audi Q7 4.2 TDI Quattro Technology,48.91,9,False,False,4134,51002,4.134
Audi Q7 35 TDI Quattro Technology,48.76,9,False,False,2967,32545,2.967
BMW 5 Series 2013-2017 530d M Sport,48.63,8,False,False,2993,27313,2.993
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,48.5,10,False,False,2987,48600,2.987
Mercedes-Benz GLC 220d 4MATIC Style,48.5,7,False,False,2143,10003,2.143
Porsche Cayenne 2009-2014 Diesel,48.22,10,False,False,2967,47877,2.967
Mercedes-Benz E-Class E400 Cabriolet,48.0,10,True,False,2996,7501,2.996
BMW 5 Series 2013-2017 530d M Sport,48.0,9,False,False,2993,16000,2.993
Audi Q7 35 TDI Quattro Technology,48.0,10,False,False,2967,21000,2.967
BMW 5 Series 530d M Sport,48.0,9,False,False,2993,27000,2.993
Audi Q7 4.2 TDI Quattro Technology,48.0,10,False,False,4134,50000,4.134
BMW X6 xDrive 40d,48.0,12,False,False,2993,58000,2.993
BMW 5 Series 2013-2017 530d M Sport,47.7,9,False,False,2993,19254,2.993
Audi Q7 3.0 TDI Quattro Premium Plus,47.5,10,False,False,2967,50000,2.967
BMW 6 Series 630i Coupe,47.5,14,True,False,4395,5900,4.395
Mercedes-Benz M-Class ML 350 4Matic,47.35,10,False,False,2987,20000,2.987
Mercedes-Benz GLC 220d 4MATIC Style,46.95,8,False,False,2143,24000,2.143
BMW 5 Series 2013-2017 520d M Sport,46.0,7,False,False,1995,7000,1.995
BMW 5 Series 520d Sport Line,45.86,6,False,False,1995,18373,1.995
Porsche Cayenne Diesel,45.82,10,False,False,2967,60395,2.967
BMW X3 xDrive30d M Sport,45.77,8,False,False,2993,51982,2.993
BMW 5 Series 2003-2012 530d,45.73,9,False,False,2993,18090,2.993
Land Rover Range Rover HSE Dynamic,45.64,8,False,False,2179,49275,2.179
Audi Q5 3.0 TDI Quattro,45.62,7,False,False,2967,32496,2.967
Mercedes-Benz M-Class ML 250 CDI,45.61,9,False,False,2143,23218,2.143
Audi Q5 3.0 TDI Quattro Technology,45.52,7,False,False,2967,29091,2.967
Porsche Panamera Diesel,45.0,12,False,False,2967,40000,2.967
BMW X3 xDrive30d M Sport,45.0,9,False,False,2993,49000,2.993
Audi A8 L 3.0 TDI quattro,45.0,13,False,False,2967,56000,2.967
Jaguar XJ 3.0L Premium Luxury,45.0,13,False,False,2993,50000,2.993
Mercedes-Benz GLC 220d 4MATIC Sport,45.0,8,False,False,2143,25000,2.143
BMW 7 Series 730Ld,45.0,12,False,False,2993,38000,2.993
BMW X5 xDrive 30d,45.0,10,False,False,2993,41000,2.993
BMW 6 Series Gran Coupe,45.0,12,False,False,2993,30000,2.993
BMW 6 Series 640d Coupe,45.0,12,False,False,2993,30000,2.993
Mercedes-Benz M-Class ML 250 CDI,45.0,11,False,False,2143,50000,2.143
Audi Q7 3.0 TDI Quattro Technology,45.0,11,False,False,2967,60000,2.967
Land Rover Range Rover HSE Dynamic,44.83,7,False,False,2179,41661,2.179
Land Rover Range Rover HSE Dynamic,44.76,7,False,False,2179,52827,2.179
BMW 5 Series 2013-2017 530d M Sport,44.56,9,False,False,2993,20967,2.993
Land Rover Discovery Sport SD4 HSE Luxury 7S,44.5,9,False,False,2179,62000,2.179
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,44.0,11,False,False,2993,19000,2.993
Audi Q5 2008-2012 3.0 TDI,44.0,11,False,False,2967,25000,2.967
Jaguar XF 2.2 Litre Executive,44.0,9,False,False,2179,10000,2.179
BMW 6 Series Gran Coupe,44.0,12,False,False,2993,21000,2.993
Land Rover Range Rover HSE Dynamic,44.0,8,False,False,2179,44000,2.179
BMW 5 Series 2013-2017 530d M Sport,44.0,10,False,False,2993,16900,2.993
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,43.78,9,False,False,2993,35659,2.993
Audi Q5 30 TDI quattro Premium,43.74,8,False,False,1968,40318,1.968
BMW 7 Series 730Ld Eminence,43.6,10,False,False,2993,29966,2.993
Audi Q7 3.0 TDI Quattro Premium Plus,43.35,10,False,False,2967,46983,2.967
Mercedes-Benz GLC 220,43.3,8,False,False,2143,50794,2.143
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,43.0,10,False,False,2993,29500,2.993
Audi A4 35 TDI Technology,43.0,8,False,False,1968,14000,1.968
Mercedes-Benz M-Class ML 350 4Matic,43.0,11,False,False,2987,33000,2.987
Porsche Panamera 2010 2013 4S,42.91,15,True,False,4806,42400,4.806
Audi Q7 3.0 TDI Quattro Premium Plus,42.83,10,False,False,2967,55662,2.967
BMW 5 Series 520d Sport Line,42.75,8,False,False,1995,16485,1.995
BMW X6 xDrive30d,42.5,12,False,False,2993,45306,2.993
Mercedes-Benz GLC 220,42.5,9,False,False,2143,44414,2.143
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,42.0,9,False,False,1999,52000,1.999
Mercedes-Benz E-Class 2015-2017 E350 Edition E,42.0,10,False,False,2987,41493,2.987
BMW X3 xDrive20d,41.75,9,False,False,1995,45165,1.995
Land Rover Discovery HSE Luxury 3.0 TD6,41.6,8,False,False,2993,35000,2.993
Audi A6 35 TFSI Matrix,41.5,7,True,False,1798,22000,1.798
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,41.5,11,False,False,2993,47000,2.993
Land Rover Discovery Sport TD4 HSE 7S,41.5,8,False,False,1999,40000,1.999
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,41.0,11,False,False,2987,79000,2.987
BMW X6 xDrive30d,40.66,11,False,False,2993,39626,2.993
BMW 5 Series 2013-2017 520d Luxury Line,40.5,8,False,False,1995,19543,1.995
Audi RS5 Coupe,40.5,12,True,False,2894,23312,2.894
Mercedes-Benz GLC 220d Celebration Edition,40.47,8,False,False,2143,26192,2.143
Land Rover Range Rover Sport 2005 2012 HSE,40.0,15,False,False,2993,45000,2.993
Porsche Cayenne Diesel,40.0,12,False,False,2967,70000,2.967
Jaguar XE 2.0L Diesel Prestige,40.0,7,False,False,1999,1000,1.999
Audi A6 35 TDI Matrix,39.84,8,False,False,1968,36824,1.968
Mini Cooper S Carbon Edition,39.75,7,True,False,1598,2971,1.598
Land Rover Range Rover 2.2L Dynamic,39.75,10,False,False,2179,52000,2.179
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.62,7,False,False,2143,20604,2.143
Audi A6 2011-2015 35 TDI Premium,39.58,7,False,False,1968,48367,1.968
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.51,7,False,False,2143,10714,2.143
Mercedes-Benz C-Class Progressive C 220d,39.5,7,False,False,1950,8682,1.95
Audi Q5 2.0 TDI Premium Plus,39.5,9,False,False,1968,43000,1.968
Audi Q5 30 TDI quattro Premium Plus,39.47,10,False,False,1968,42747,1.968
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.47,7,False,False,2143,36797,2.143
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.45,7,False,False,2143,24465,2.143
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.41,7,False,False,2143,29161,2.143
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.22,7,False,False,2143,23152,2.143
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.05,7,False,False,2143,27467,2.143
Audi Q5 30 TDI quattro Premium Plus,39.0,11,False,False,1968,38000,1.968
Audi Q7 35 TDI Quattro Premium Plus,39.0,9,False,False,2967,72132,2.967
Audi Q7 3.0 TDI Quattro Premium Plus,39.0,13,False,False,2967,79000,2.967
Mercedes-Benz New C-Class Progressive C 200,38.99,6,True,False,1950,13190,1.95
Audi Q5 30 TDI quattro Premium Plus,38.95,11,False,False,1968,38000,1.968
Audi Q7 3.0 TDI Quattro Premium Plus,38.94,10,False,False,2967,53735,2.967
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,38.76,9,False,False,2143,41082,2.143
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,38.75,11,False,False,2987,85000,2.987
Audi Q5 30 TDI quattro Premium Plus,38.72,9,False,False,1968,47293,1.968
Mercedes-Benz New C-Class C 250 CDI Avantgarde,38.5,8,False,False,2143,14470,2.143
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,38.5,8,False,False,2143,20149,2.143
Mercedes-Benz E-Class 2015-2017 E250 Edition E,38.15,8,False,False,2143,43477,2.143
Jaguar XF 2.2 Litre Luxury,38.0,10,False,False,2179,50000,2.179
Mercedes-Benz M-Class ML 350 4Matic,38.0,10,False,False,2987,69000,2.987
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,38.0,12,False,False,2987,100000,2.987
Jaguar XF 2.2 Litre Executive,38.0,10,False,False,2179,19000,2.179
Jaguar XE 2.0L Diesel Prestige,38.0,8,False,False,1999,4000,1.999
Audi Q7 35 TDI Quattro Premium Plus,38.0,10,False,False,2967,65938,2.967
Mercedes-Benz New C-Class C220 CDI Executive Edition,37.99,6,False,False,2148,17320,2.148
Mercedes-Benz E-Class 2015-2017 E250 Edition E,37.98,7,False,False,2143,41467,2.143
Mercedes-Benz New C-Class C 250 CDI Avantgarde,37.93,8,False,False,2143,25559,2.143
BMW 3 Series Luxury Line,37.92,7,False,False,1995,21936,1.995
Audi Q7 3.0 TDI Quattro Premium Plus,37.9,11,False,False,2967,45000,2.967
Audi A6 2011-2015 35 TDI Technology,37.56,8,False,False,1968,41041,1.968
Mercedes-Benz New C-Class C 220 CDI Style,37.5,8,False,False,2143,11200,2.143
BMW 5 Series 520d Luxury Line,37.3,7,False,False,1995,32586,1.995
Mercedes-Benz E-Class 2015-2017 E250 Edition E,37.0,8,False,False,2143,33900,2.143
Audi RS5 Coupe,37.0,12,True,False,2894,23000,2.894
Audi Q5 3.0 TDI Quattro Technology,36.83,8,False,False,2967,43827,2.967
Mercedes-Benz CLA 200 D Sport Edition,36.76,6,False,False,2143,15976,2.143
Land Rover Discovery SE 3.0 TD6,36.75,9,False,False,2993,59000,2.993
BMW X1 sDrive 20d xLine,36.64,6,False,False,1995,15456,1.995
Audi Q7 3.0 TDI Quattro Technology,36.5,13,False,False,2967,88000,2.967
BMW 3 Series Luxury Line,36.5,9,False,False,1995,19235,1.995
Jaguar XF Diesel,36.15,9,False,False,2993,55115,2.993
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,36.0,9,False,False,2143,21000,2.143
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,36.0,8,False,False,2143,34000,2.143
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,36.0,12,False,False,2987,46000,2.987
Land Rover Range Rover 2.2L Prestige,36.0,10,False,False,2179,37000,2.179
BMW 7 Series 2007-2012 730Ld,36.0,16,False,False,2993,53000,2.993
Mercedes-Benz M-Class ML 350 CDI,36.0,13,False,False,2987,83000,2.987
Audi A6 2011-2015 35 TDI Technology,36.0,10,False,False,1968,50000,1.968
Mercedes-Benz New C-Class C 220 CDI Style,36.0,8,False,False,2143,10000,2.143
Audi Q5 30 TDI quattro Premium Plus,36.0,10,False,False,1968,63000,1.968
Mini Cooper Convertible S,35.98,8,True,False,1998,20469,1.998
Audi A6 2011-2015 35 TDI Technology,35.92,8,False,False,1968,55975,1.968
BMW 5 Series 2013-2017 520d Luxury Line,35.84,9,False,False,1995,19658,1.995
BMW 3 Series Luxury Line,35.84,8,False,False,1995,34232,1.995
Toyota Fortuner 2.8 2WD MT,35.82,6,False,True,2755,56251,2.755
Jaguar XF 2.2 Litre Luxury,35.68,9,False,False,2179,47877,2.179
Mercedes-Benz C-Class Progressive C 220d,35.67,6,False,False,1950,15369,1.95
Mini Cooper Convertible S,35.67,8,True,False,1998,26327,1.998
BMW 3 Series 320d Luxury Line,35.55,9,False,False,1995,14351,1.995
Audi A6 35 TDI Matrix,35.5,10,False,False,1968,20000,1.968
Ford Endeavour 3.2 Titanium AT 4X4,35.5,6,False,False,3198,9000,3.198
Mercedes-Benz E-Class E250 CDI Avantgrade,35.28,9,False,False,2143,39753,2.143
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,35.0,9,False,False,2143,37944,2.143
Land Rover Discovery Sport SD4 HSE Luxury,35.0,9,False,False,2179,70000,2.179
Mercedes-Benz M-Class ML 250 CDI,35.0,9,False,False,2143,52000,2.143
Land Rover Discovery Sport TD4 S,35.0,8,False,False,2179,22000,2.179
Mercedes-Benz C-Class Progressive C 220d,35.0,6,False,False,1950,4000,1.95
Land Rover Discovery Sport TD4 HSE,35.0,9,False,False,2179,77000,2.179
BMW 3 Series Luxury Line,35.0,8,False,False,1995,21000,1.995
Audi Q5 2.0 TDI,35.0,10,False,False,1968,56000,1.968
Audi Q5 2.0 TDI Technology,35.0,11,False,False,1968,50000,1.968
Mini Cooper Convertible S,35.0,9,True,False,1998,15000,1.998
BMW 5 Series 2013-2017 520d Luxury Line,35.0,10,False,False,1995,14000,1.995
BMW 3 Series Luxury Line,35.0,9,False,False,1995,27000,1.995
Mini Clubman Cooper S,35.0,8,True,True,1998,8350,1.998
Audi TT 40 TFSI,35.0,13,True,False,1984,7000,1.984
Audi Q7 3.0 TDI Quattro Premium Plus,34.88,11,False,False,2967,51076,2.967
Mercedes-Benz New C-Class C 220 CDI Elegance AT,34.78,8,False,False,2143,32642,2.143
BMW 7 Series 730Ld Sedan,34.54,12,False,False,2993,73525,2.993
BMW 5 Series 2013-2017 520d Luxury Line,34.51,9,False,False,1995,44001,1.995
Jaguar XE Portfolio,34.5,8,True,False,1999,9000,1.999
Land Rover Range Rover 2.2L Pure,34.5,11,False,False,2179,56000,2.179
Audi Q5 3.0 TDI Quattro,34.5,10,False,False,2967,63000,2.967
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,34.18,9,False,False,2143,43252,2.143
Land Rover Range Rover Evoque 2.0 TD4 Pure,34.08,9,False,False,1999,29022,1.999
Mini Cooper 5 DOOR D,34.0,8,False,False,1496,2000,1.496
Mercedes-Benz GLA Class 200 CDI SPORT,34.0,8,False,False,2143,16500,2.143
Land Rover Discovery 4 TDV6 SE,34.0,12,False,False,2993,65000,2.993
Mercedes-Benz New C-Class C 220 CDI Style,34.0,10,False,False,2143,39000,2.143
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,34.0,9,False,False,2143,45000,2.143
BMW 3 Series 320d GT Luxury Line,33.75,8,False,False,1995,8000,1.995
Mercedes-Benz New C-Class C 220 CDI Style,33.66,8,False,False,2143,23550,2.143
BMW 3 Series 320d M Sport,33.66,8,False,False,1995,23806,1.995
Mercedes-Benz New C-Class C 220 CDI Avantgarde,33.64,8,False,False,2143,26493,2.143
Jaguar XF 2.2 Litre Luxury,33.63,9,False,False,2179,13418,2.179
Ford Endeavour 3.2 Titanium AT 4X4,33.5,7,False,False,3198,12000,3.198
Land Rover Range Rover Evoque 2.0 TD4 Pure,33.5,10,False,False,1999,24000,1.999
BMW 5 Series 520d Luxury Line,33.5,11,False,False,1995,51000,1.995
BMW 5 Series 525d Sedan,33.5,12,False,False,2993,56000,2.993
Toyota Fortuner 2.8 2WD AT,33.13,6,False,False,2755,21719,2.755
Ford Endeavour 3.2 Titanium AT 4X4,33.0,7,False,False,3198,15000,3.198
BMW 3 Series GT 320d Luxury Line,33.0,10,False,False,1995,36255,1.995
Mercedes-Benz New C-Class C 220 CDI Avantgarde,33.0,9,False,False,2143,20000,2.143
BMW X1 sDrive 20d Sportline,33.0,9,False,False,1995,21000,1.995
Audi Q5 3.0 TDI Quattro Technology,32.95,10,False,False,2967,11964,2.967
Audi A4 35 TDI Technology Edition,32.91,6,False,False,1968,38163,1.968
Ford Endeavour 2.2 Titanium AT 4X2,32.9,6,False,False,2198,9000,2.198
Jaguar XF 2.2 Litre Luxury,32.8,10,False,False,2179,44194,2.179
BMW X3 xDrive20d xLine,32.78,8,False,False,1995,41816,1.995
Audi Q3 30 TDI Premium FWD,32.73,7,False,False,1968,22060,1.968
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,32.73,9,False,False,2143,65405,2.143
BMW X3 xDrive20d xLine,32.64,8,False,False,1995,36935,1.995
BMW X3 xDrive 20d xLine,32.57,8,False,False,1995,36723,1.995
Audi Q7 3.0 TDI Quattro Premium Plus,32.52,11,False,False,2967,72469,2.967
Audi Q5 2.0 TDI Premium Plus,32.5,12,False,False,1968,44000,1.968
Land Rover Range Rover 2.2L Pure,32.5,11,False,False,2179,38999,2.179
Mercedes-Benz New C-Class C 220 CDI Avantgarde,32.5,9,False,False,2143,51944,2.143
Volvo XC60 D5,32.5,10,False,False,2400,100000,2.4
Ford Endeavour 3.2 Trend AT 4X4,32.44,7,False,False,3198,30552,3.198
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,32.25,8,False,False,2143,36884,2.143
Toyota Fortuner 4x4 MT,32.1,7,False,True,2982,39927,2.982
Toyota Camry Hybrid,32.0,7,True,False,2494,17000,2.494
Mercedes-Benz E-Class E250 CDI Avantgrade,32.0,11,False,False,2143,37382,2.143
Toyota Fortuner 4x4 AT,32.0,8,False,False,2982,25000,2.982
Audi A6 2011-2015 35 TDI Technology,32.0,10,False,False,1968,37500,1.968
Porsche Cayenne Turbo S,32.0,15,True,False,4806,35000,4.806
Mercedes-Benz CLS-Class 2006-2010 350 CDI,32.0,15,False,False,3498,29000,3.498
Audi Q7 3.0 TDI Quattro Premium Plus,32.0,11,False,False,2967,58000,2.967
Mini Cooper Convertible 1.6,32.0,10,True,False,1598,20000,1.598
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,32.0,12,False,False,2987,100000,2.987
Jaguar XF Aero Sport Edition,32.0,13,False,False,2179,16000,2.179
Toyota Camry 2.5 Hybrid,32.0,7,True,False,2494,17585,2.494
Ford Endeavour 2.2 Titanium AT 4X2,31.99,7,False,False,2198,14000,2.198
Mercedes-Benz E-Class 2015-2017 E250 Edition E,31.94,8,False,False,2143,43368,2.143
Audi Q3 35 TDI Quattro Premium Plus,31.93,8,False,False,1968,42366,1.968
Jaguar XF 3.0 Litre S Premium Luxury,31.8,10,False,False,2993,47759,2.993
BMW 5 Series 2013-2017 530d M Sport,31.75,10,False,False,2993,65266,2.993
Mercedes-Benz E-Class Facelift,31.75,11,False,False,2987,28000,2.987
Toyota Fortuner 4x4 AT,31.62,7,False,False,2982,37713,2.982
Mini Cooper 5 DOOR D,31.55,6,False,False,1496,14857,1.496
BMW 5 Series 2013-2017 520d Luxury Line,31.5,9,False,False,1995,30000,1.995
Audi Q7 3.0 TDI quattro,31.41,11,False,False,2967,118218,2.967
Ford Endeavour 2.2 Trend AT 4X2,31.15,6,False,False,2198,11209,2.198
Ford Endeavour 3.2 Trend AT 4X4,31.12,8,False,False,3198,50484,3.198
Toyota Fortuner 2.8 2WD AT,31.0,8,False,False,2755,29000,2.755
BMW 3 Series 330 Ci Convertible,31.0,14,True,False,2497,31000,2.497
Jaguar XF 2.2 Litre Luxury,31.0,11,False,False,2179,55001,2.179
Ford Endeavour 3.2 Titanium AT 4X4,31.0,8,False,False,3198,17000,3.198
BMW 7 Series 730Ld Sedan,31.0,15,False,False,2993,58000,2.993
Toyota Fortuner 2.8 2WD AT,30.85,6,False,False,2755,28069,2.755
BMW 5 Series 2013-2017 520d Luxury Line,30.8,9,False,False,1995,63111,1.995
Mercedes-Benz CLA 200 CDI Sport,30.77,6,False,False,2143,13414,2.143
Mercedes-Benz E-Class E250 CDI Launch Edition,30.72,10,False,False,2143,73187,2.143
Jaguar XF 2.2 Litre Luxury,30.54,9,False,False,2179,31150,2.179
Mercedes-Benz New C-Class 220 CDI AT,30.5,8,False,False,2143,32324,2.143
Audi Q7 3.0 TDI Quattro Technology,30.5,11,False,False,2967,102865,2.967
BMW 5 Series 2013-2017 520d Luxury Line,30.5,11,False,False,1995,32000,1.995
